Message
"{""id"":35,""user_id_from"":1,""user_id_to"":2,""type_transaction"":""credit"",""type_credit"":""transfer"",""total"":70000}"
"{""id"":37,""user_id_from"":1,""user_id_to"":2,""type_transaction"":""credit"",""type_credit"":""transfer"",""total"":70000}"
"{""id"":39,""user_id_from"":1,""user_id_to"":2,""type_transaction"":""credit"",""type_credit"":""transfer"",""total"":90000}"
"{""id"":41,""user_id_from"":1,""user_id_to"":2,""type_transaction"":""credit"",""type_credit"":""transfer"",""total"":90000}"
"{""id"":43,""user_id_from"":1,""user_id_to"":2,""type_transaction"":""credit"",""type_credit"":""transfer"",""total"":90000}"
"{""id"":45,""user_id_from"":1,""user_id_to"":2,""type_transaction"":""credit"",""type_credit"":""transfer"",""total"":90000}"
"{""id"":47,""user_id_from"":1,""user_id_to"":2,""type_transaction"":""credit"",""type_credit"":""transfer"",""total"":90000}"
"{""id"":49,""user_id_from"":1,""user_id_to"":2,""type_transaction"":""credit"",""type_credit"":""transfer"",""total"":90000}"
"{""id"":51,""user_id_from"":1,""user_id_to"":2,""type_transaction"":""credit"",""type_credit"":""transfer"",""total"":90000}"
"{""id"":53,""user_id_from"":1,""user_id_to"":2,""type_transaction"":""credit"",""type_credit"":""transfer"",""total"":90000}"
"{""id"":55,""user_id_from"":1,""user_id_to"":2,""type_transaction"":""credit"",""type_credit"":""transfer"",""total"":90000}"
"{""id"":57,""user_id_from"":1,""user_id_to"":2,""type_transaction"":""credit"",""type_credit"":""transfer"",""total"":90000}"
"{""id"":59,""user_id_from"":1,""user_id_to"":2,""type_transaction"":""credit"",""type_credit"":""transfer"",""total"":190000}"
"{""id"":61,""user_id_from"":1,""user_id_to"":2,""type_transaction"":""credit"",""type_credit"":""transfer"",""total"":190000}"
"{""id"":63,""user_id_from"":1,""user_id_to"":2,""type_transaction"":""credit"",""type_credit"":""transfer"",""total"":190000}"
"{""id"":65,""user_id_from"":1,""user_id_to"":2,""type_transaction"":""credit"",""type_credit"":""transfer"",""total"":190000}"
"{""id"":67,""user_id_from"":1,""user_id_to"":2,""type_transaction"":""credit"",""type_credit"":""transfer"",""total"":190000}"
